FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
27129,169.18306801736614,1242597140.0,7,50
20000,623.60424710424707,500331922783.0,294,4660
29161,223.28756830601094,3542468383.0,9,100
54063,150.32463465553235,420557810.0,4,25
51177,300.41864608076008,8745776338.0,18,185
C3934,297.78796518607442,44350274191.0,71,674
16019,286.54214237743452,11345989124.0,21,237
51135,172.59347442680777,928521981.0,5,51
C3446,667.0,467019506.0,939,13462
05073,135.0462962962963,195254059.0,4,15
CS276,853.0,24921246374.0,27693,562017
48199,234.28979238754326,3635799680.0,8,109
39107,202.5319361277445,4331449241.0,9,126
29127,172.65793489318412,2702371279.0,8,87
22055,441.31690333151283,55381523556.0,45,624
C1986,1181.75,1328407608.0,1503,21580
31093,177.63015463917526,255290534.0,4,22
47099,179.43853919239905,1756034964.0,7,69
05135,125.46524288107203,591245538.0,6,38
48175,135.89930555555554,256543326.0,3,16
55117,260.24891225525744,17459908205.0,18,307
38087,110.89430894308943,82143340.0,2,8
24039,152.6748120300752,1406442990.0,6,55
02240,290.64685314685318,858493857.0,4,26
48131,203.77784653465346,1034712060.0,4,56
C4882,657.75,770168503.0,1357,22502
40079,192.53606828193833,2865681428.0,9,93
28111,154.52646239554318,418497699.0,4,31
31141,221.27466475095787,4396677712.0,10,120
29181,119.2524557956778,430039650.0,8,38
48471,237.33972468043265,4397431044.0,9,124
50003,261.60624457935819,4506211121.0,11,105
29129,106.5625,145394713.0,3,18
C3194,674.5,922446778.0,1782,26309
27167,138.46659482758622,435515232.0,4,27
45061,157.44924406047517,648326206.0,5,44
C3014,278.59731270358304,11286963103.0,19,267
08043,233.2178166838311,2488186873.0,8,77
72005,145.64468973747017,2692496592.0,9,117
